Token_Original,Skill_Standard_Internasional
& PowerPoint,& PowerPoint
& deploy tools,& Deploy Tools
(5461) Data Analyst,(5461) Data Analyst
(5602) Data Engineer,(5602) Data Engineer
(Electronic Data Interchange) Data Analyst - Contract,(Electronic Data Interchange) Data Analyst - Contract
(Full-time) Data and Reporting Analyst (SC),(Full-time) Data and Reporting Analyst (SC)
"(Level III Database Engineer- ETL- SSIS, ADF, C#)","(Level III Database Engineer- ETL- SSIS, ADF, C#)"
(Remote) Principal Data Quality Engineer,(Remote) Principal Data Quality Engineer
(Senior) Data Partnerships Manager,(Senior) Data Partnerships Manager
(Sr.) Lead Data Architect,(Sr.) Lead Data Architect
(USA) Data Engineer III,(USA) Data Engineer III
"(USA) Senior, Data Engineer, Big Data","(USA) Senior, Data Engineer, Big Data"
"(WMS) Systems Administrator III, 3rd Shift","(WMS) Systems Administrator III, 3rd Shift"
(k),(K)
(py)spark,PySpark
) User-Interface (UI) design solutions,) User-Interface (Ui) Design Solutions
* AI training models,* Ai Training Models
* AIX,* AIX
* AWS Cloud,* Aws Cloud
* AXP Enterprise Data Platform,* Axp Enterprise Data Platform
* Agile,* Agile
* Agile/Scrum Methodology,* Agile/Scrum Methodology
* Airflow,* Airflow
* Algorithms,* Algorithms
* Apache Flink,* Apache Flink
* Automation,* Automation
* Batch Processing,* Batch Processing
* CI/CD,* CI/CD
* Cassandra,* Cassandra
* Clusters,* Clusters
* Coaching,* Coaching
* Coding,* Coding
* Computer science,* Computer Science
* Continuous Delivery,* Continuous Delivery
* Continuous Integration,* Continuous Integration
* Data Engineering,* Data Engineering
* Data Governance,* Data Governance
* Data Warehousing,* Data Warehousing
* Data analytics,* Data Analytics
* Data science,* Data Science
* Database Engineering,* Database Engineering
* Database Performance Evaluation,* Database Performance Evaluation
* Database Technologies,* Database Technologies
* DevOps,* DevOps
* DevOps Tools,* Devops Tools
* Disaster Recovery,* Disaster Recovery
* Docker,* Docker
* ETL,* ETL
* EdTech,* EdTech
* GIS,* GIS
* Generative AI,* Generative Ai
* Geography,* Geography
* GitHub,* GitHub
* GraphQL,* GraphQL
* HBase,* HBase
* Hadoop,* Hadoop
* Helm,* Helm
* Hive,* Hive
* Information Technology,* Information Technology
* JSON,* JSON
* JavaScript,* JavaScript
* Jenkins,* Jenkins
* Kafka,* Kafka
* Kubernetes,* Kubernetes
* Learning science,* Learning Science
* Linux,* Linux
* MapReduce,* MapReduce
* Memcached,* Memcached
* Microservices,* Microservices
* NoSQL,* NoSQL
* OOP language,* Oop Language
* Oracle,* Oracle
* Performance Tuning,* Performance Tuning
* Perl,* Perl
* Planning,* Planning
* PostgreSQL,* PostgreSQL
* Power BI,* Power Bi
* PowerShell,* PowerShell
* Proactive communication,* Proactive Communication
* Product development,* Product Development
* Production Support,* Production Support
* PySpark,* PySpark
* Python,* Python
* REST API,* Rest Api
* RealTime Processing,* Realtime Processing
* Redis,* Redis
* Relational Database Internals,* Relational Database Internals
* Relational database,* Relational Database
* Research,* Research
* S3,* S3
* SOA,* SOA
* SQL,* SQL
* SQL Tuning,* Sql Tuning
* Scripting Languages,* Scripting Languages
* Security,* Security
* Shell Scripting,* Shell Scripting
* Snowflake,* Snowflake
* Spark,* Spark
* Spark SQL,* Spark Sql
* Stakeholder management,* Stakeholder Management
* Storm,* Storm
* Streaming Processing,* Streaming Processing
* Structured Query Language (SQL),* Structured Query Language (Sql)
* Systems Architecture,* Systems Architecture
* Systems Engineering,* Systems Engineering
* TCL,* TCL
* TDD,* TDD
* Technical functionalities,* Technical Functionalities
* Troubleshooting,* Troubleshooting
* Verbal communication,* Verbal Communication
* Written communication,* Written Communication
* XLR,* XLR
* XML,* XML
* YARN,* YARN
* Zookeeper,* Zookeeper
**** Research methodologies,**** Research Methodologies
**Related to Education:** All Technical Skills,**Related To Education:** All Technical Skills
**Technical Skills (Education Related):**,**Technical Skills (Education Related):**
**Technical Skills - Experience:**,**Technical Skills - Experience:**
**Technical Skills**,**Technical Skills**
**Technical Skills**:,**Technical Skills**:
*Data Engineer - Cloud Tech*,*Data Engineer - Cloud Tech*
*Data Engineers - Databricks*,*Data Engineers - Databricks*
-D computer rendering skills (SketchUp,-D Computer Rendering Skills (Sketchup
-D graphics,-D graphics
-factor development,-Factor Development
-hour on-call support,-Hour On-Call Support
. NET Full Stack,. Net Full Stack
. NET sollution architect,. NET sollution architect
. Net,. Net
.ASP.Net,.ASP.Net
