original_index,kualifikasi
0,"Menguasai Java dan Python, mampu mengembangkan software dengan pengalaman 0-1 tahun di bidang pengembangan perangkat lunak, bertanggung jawab untuk mengembangkan software."
1,"Menguasai SQL dan Excel, berpengalaman 1-3 tahun dalam bidang analisis data, bertanggung jawab untuk menganalisis data dan menyajikannya dalam bentuk yang efektif."
2,"Menguasai teknologi Cisco dan WAN, berpengalaman dalam bidang jaringan selama 3-5 tahun, bertanggung jawab untuk menjaga dan memelihara jaringan, serta mampu melakukan perawatan dan perbaikan jaringan."
3,"Menguasai teknologi cloud seperti AWS dan Azure, berpengalaman lebih dari 5 tahun dalam bidang desain cloud, bertanggung jawab untuk merancang dan mengimplementasikan solusi cloud yang efektif dan efisien."
4,"Menguasai Cybersecurity, berpengalaman 3-5 tahun di bidang keamanan siber, dan bertanggung jawab untuk melindungi data."
5,"Menguasai PMP dan Agile, berpengalaman lebih dari 5 tahun dalam bidang IT, bertanggung jawab untuk mengelola proyek dan mampu mengatur tim untuk mencapai tujuan proyek."
6,"Menguasai R dan Python, berpengalaman 3-5 tahun dalam bidang analisis data, bertanggung jawab untuk menganalisis big data dan mengembangkan solusi yang efektif."
7,"Menguasai Docker dan Jenkins, berpengalaman 3-5 tahun dalam bidang DevOps, bertanggung jawab untuk mengintegrasikan dan memantau proses pengembangan dan pengelolaan infrastruktur."
8,"Menguasai Windows dan Linux, berpengalaman dalam bidang IT dengan pengalaman kerja 0-1 tahun, bertanggung jawab untuk memberikan dukungan teknis yang efektif sebagai IT Support Analyst."
9,"UX/UI Designer yang berpengalaman menguasai UI/UX Design, mampu mengembangkan desain user interfaces yang efektif dan efisien, serta bertanggung jawab dalam mengelola proyek desain dengan lama pengalaman 1-3 tahun di bidang desain."
10,"Menguasai SQL, Oracle, dan Database Management, berpengalaman 3-5 tahun dalam bidang database, serta bertanggung jawab untuk mengelola database."
11,"Menguasai HTML, CSS, dan JavaScript, berpengalaman 1-3 tahun dalam bidang pengembangan aplikasi, bertanggung jawab untuk mendesain antarmuka pengguna yang efektif dan efisien."
12,"Menguasai Windows Server dan Active Directory, berpengalaman 3-5 tahun dalam bidang sistem, bertanggung jawab untuk menjaga kestabilan dan kinerja sistem, serta mampu melakukan maintenance sistem secara efektif."
13,"Menguasai Python, TensorFlow, dan AI/ML, berpengalaman 3-5 tahun di bidang pengembangan model AI, bertanggung jawab untuk mengembangkan model-model AI yang efektif dan efisien."
14,"Menguasai Audit dan Risk Management, berpengalaman 3-5 tahun di bidang IT, bertanggung jawab untuk melakukan audit sistem IT."
15,"Menguasai teknologi firewall, VPN, dan keamanan, serta berpengalaman dalam bidang keamanan jaringan selama 3-5 tahun, bertanggung jawab untuk mengamankan jaringan dan sistem komputer."
16,"Menguasai Manual Testing dan Bug Tracking, berpengalaman dalam bidang pengujian software selama 0-1 tahun, bertanggung jawab untuk melakukan pengujian manual terhadap perangkat lunak dan melacak bug yang ditemukan."
